datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,2973
2019-05-16 01:00:00,0.0,0.0,7.1,301,-2.5,75,685
2019-05-16 02:00:00,0.0,0.0,7.1,301,-1.5,74,685
2019-05-16 03:00:00,0.0,0.0,7.3,302,-0.5,72,686
2019-05-16 04:00:00,0.0,0.0,7.5,302,0.5,70,686
2019-05-16 05:00:00,0.0,0.0,7.4,301,1.2,68,686
2019-05-16 06:00:00,0.0,0.0,7.0,300,1.8,66,685
2019-05-16 07:00:00,0.0,0.0,6.5,299,2.4,64,685
2019-05-16 08:00:00,0.0,0.0,6.0,298,2.9,62,684
2019-05-16 09:00:00,0.0,0.0,5.2,297,3.3,59,684
2019-05-16 10:00:00,0.0,0.0,4.5,296,3.7,57,683
2019-05-16 11:00:00,0.0,0.0,4.4,298,3.0,60,683
2019-05-16 12:00:00,0.0,0.0,4.4,299,2.2,64,684
2019-05-16 13:00:00,0.0,0.0,4.6,300,1.3,68,684
2019-05-16 14:00:00,0.0,0.0,5.0,301,0.2,75,685
2019-05-16 15:00:00,0.0,0.0,5.7,302,-0.8,81,685
2019-05-16 16:00:00,0.0,0.0,6.3,303,-1.6,86,686
2019-05-16 17:00:00,0.0,0.0,6.4,303,-2.3,86,686
2019-05-16 18:00:00,0.0,0.0,6.3,302,-3.0,86,686
2019-05-16 19:00:00,0.0,0.0,6.2,301,-3.7,87,686
2019-05-16 20:00:00,0.0,0.0,6.3,301,-3.8,87,685
2019-05-16 21:00:00,0.0,0.0,6.4,301,-3.9,87,685
2019-05-16 22:00:00,0.0,0.0,6.3,301,-3.9,86,684
2019-05-16 23:00:00,0.0,0.0,6.3,302,-4.0,86,685
2019-05-17 00:00:00,0.0,0.0,6.5,304,-4.1,86,686
2019-05-17 01:00:00,0.0,0.0,6.7,306,-4.1,85,687
2019-05-17 02:00:00,0.0,0.0,7.1,306,-3.7,83,687
2019-05-17 03:00:00,0.0,0.0,7.6,306,-3.2,81,688
2019-05-17 04:00:00,0.0,0.0,8.0,307,-2.8,78,688
2019-05-17 05:00:00,0.0,0.0,7.8,305,-2.0,75,688
2019-05-17 06:00:00,0.0,0.0,7.7,304,-1.2,72,688
2019-05-17 07:00:00,0.0,0.0,7.5,303,-0.5,69,687
2019-05-17 08:00:00,0.0,0.0,7.4,302,0.1,62,687
2019-05-17 09:00:00,0.0,0.0,7.0,300,0.5,56,686
2019-05-17 10:00:00,0.0,0.0,6.8,298,0.9,50,686
2019-05-17 11:00:00,0.0,0.0,6.5,300,0.2,48,686
2019-05-17 12:00:00,0.0,0.0,6.2,302,-0.5,46,687
2019-05-17 13:00:00,0.0,0.0,5.8,303,-1.3,45,687
2019-05-17 14:00:00,0.0,0.0,5.7,304,-2.5,47,689
2019-05-17 15:00:00,0.0,0.0,6.3,305,-3.6,47,690
2019-05-17 16:00:00,0.0,0.0,6.7,306,-4.7,48,691
2019-05-17 17:00:00,0.0,0.0,6.7,306,-5.0,48,691
