datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,543
2019-05-16 01:00:00,0.0,0.0,1.7,300,16.5,26,891
2019-05-16 02:00:00,0.0,0.0,1.8,327,19.2,21,891
2019-05-16 03:00:00,0.0,0.0,1.2,321,22.1,17,891
2019-05-16 04:00:00,0.0,0.0,0.7,314,24.7,13,891
2019-05-16 05:00:00,0.0,0.0,1.2,294,26.0,12,890
2019-05-16 06:00:00,0.0,0.0,1.7,274,27.3,11,890
2019-05-16 07:00:00,0.0,0.0,2.3,257,28.5,11,889
2019-05-16 08:00:00,0.0,0.0,3.0,259,29.2,10,889
2019-05-16 09:00:00,0.0,0.0,3.5,261,29.9,10,888
2019-05-16 10:00:00,0.0,0.0,4.1,270,30.6,9,887
2019-05-16 11:00:00,0.0,0.0,4.0,277,30.5,9,887
2019-05-16 12:00:00,0.0,0.0,3.9,280,30.4,9,887
2019-05-16 13:00:00,0.0,0.0,3.7,285,30.2,9,886
2019-05-16 14:00:00,0.0,0.0,3.4,308,28.6,10,887
2019-05-16 15:00:00,0.0,0.0,3.4,328,27.1,11,887
2019-05-16 16:00:00,0.0,0.0,3.6,346,25.7,12,887
2019-05-16 17:00:00,0.0,0.0,4.2,32,24.4,14,887
2019-05-16 18:00:00,0.0,0.0,4.5,79,23.4,16,888
2019-05-16 19:00:00,0.0,0.0,5.4,101,22.3,19,888
2019-05-16 20:00:00,0.0,0.0,4.8,109,21.2,20,889
2019-05-16 21:00:00,0.0,0.0,3.5,116,20.0,23,889
2019-05-16 22:00:00,0.0,0.0,3.2,127,18.8,25,889
2019-05-16 23:00:00,0.0,0.0,2.9,131,18.0,26,889
2019-05-17 00:00:00,0.0,0.0,3.1,142,17.4,27,890
2019-05-17 01:00:00,0.0,0.0,3.9,146,16.7,28,891
2019-05-17 02:00:00,0.0,0.0,3.3,143,18.0,26,892
2019-05-17 03:00:00,0.0,0.0,3.1,140,19.9,23,892
2019-05-17 04:00:00,0.0,0.0,1.9,149,21.2,21,893
2019-05-17 05:00:00,0.0,0.0,2.6,156,22.6,19,893
2019-05-17 06:00:00,0.0,0.0,3.1,154,23.9,18,892
2019-05-17 07:00:00,0.0,0.0,3.7,157,25.3,16,892
2019-05-17 08:00:00,0.0,0.0,3.7,165,25.9,15,892
2019-05-17 09:00:00,0.0,0.0,4.2,168,26.4,15,892
2019-05-17 10:00:00,0.0,0.0,4.7,170,26.9,14,891
2019-05-17 11:00:00,0.0,0.0,4.5,168,26.7,14,892
2019-05-17 12:00:00,0.0,0.0,4.0,168,26.4,14,892
2019-05-17 13:00:00,0.0,0.0,3.3,94,26.1,14,892
2019-05-17 14:00:00,0.0,0.0,5.9,136,24.2,16,893
2019-05-17 15:00:00,0.0,0.0,7.1,131,22.5,18,895
2019-05-17 16:00:00,0.0,0.0,7.8,124,20.8,20,896
2019-05-17 17:00:00,0.0,0.0,8.7,119,19.5,22,897
2019-05-17 18:00:00,0.0,0.0,8.5,116,18.1,23,897
2019-05-17 19:00:00,0.0,0.0,7.4,119,16.8,24,898
2019-05-17 20:00:00,0.0,0.0,6.9,128,15.8,25,899
2019-05-17 21:00:00,0.0,0.0,7.0,135,14.7,26,900
2019-05-17 22:00:00,0.0,0.0,6.6,139,13.6,27,900
2019-05-17 23:00:00,0.0,0.0,6.4,136,13.0,28,902
2019-05-18 00:00:00,0.0,0.0,6.6,132,12.5,28,903
2019-05-18 01:00:00,0.0,0.0,6.6,129,12.2,28,904
2019-05-18 02:00:00,0.0,0.0,6.9,128,13.6,25,905
2019-05-18 03:00:00,0.0,0.0,6.8,126,14.9,22,906
2019-05-18 04:00:00,0.0,0.0,6.7,126,16.3,19,907
2019-05-18 05:00:00,0.0,0.0,6.8,125,17.6,17,907
2019-05-18 06:00:00,0.0,0.0,6.7,124,19.0,16,906
2019-05-18 07:00:00,0.0,0.0,6.7,123,20.4,14,906
2019-05-18 08:00:00,0.0,0.0,6.0,121,21.2,14,906
2019-05-18 09:00:00,0.0,0.0,5.5,117,21.9,13,905
2019-05-18 10:00:00,0.0,0.0,5.1,114,22.6,12,905
2019-05-18 11:00:00,0.0,0.0,5.6,120,22.2,12,905
2019-05-18 12:00:00,0.0,0.0,6.2,127,21.9,12,905
2019-05-18 13:00:00,0.0,0.0,6.8,132,21.4,13,906
2019-05-18 14:00:00,0.0,0.0,6.7,127,20.4,12,906
2019-05-18 15:00:00,0.0,0.0,6.6,124,19.2,12,906
2019-05-18 16:00:00,0.0,0.0,6.8,120,18.1,11,907
2019-05-18 17:00:00,0.0,0.0,6.8,112,16.9,10,907
2019-05-18 18:00:00,0.0,0.0,7.2,106,15.9,10,908
2019-05-18 19:00:00,0.0,0.0,8.2,95,15.1,8,908
2019-05-18 20:00:00,0.0,0.0,7.3,88,14.4,8,908
2019-05-18 21:00:00,0.0,0.0,6.0,84,13.6,9,909
2019-05-18 22:00:00,0.0,0.0,5.1,82,12.8,10,909
2019-05-18 23:00:00,0.0,0.0,4.1,80,12.1,11,909
2019-05-19 00:00:00,0.0,0.0,2.9,82,11.4,12,909
2019-05-19 01:00:00,0.0,0.0,2.2,26,11.3,12,909
2019-05-19 02:00:00,0.0,0.0,2.8,52,13.3,10,909
2019-05-19 03:00:00,0.0,0.0,3.1,31,15.3,10,908
2019-05-19 04:00:00,0.0,0.0,2.9,11,17.2,9,908
2019-05-19 05:00:00,0.0,0.0,3.0,351,19.0,8,907
2019-05-19 06:00:00,0.0,0.0,2.7,332,21.0,8,907
2019-05-19 07:00:00,0.0,0.0,2.6,239,22.9,7,906
2019-05-19 08:00:00,0.0,0.0,2.4,246,23.5,7,906
2019-05-19 09:00:00,0.0,0.0,2.2,284,23.9,7,905
2019-05-19 10:00:00,0.0,0.0,2.3,284,24.2,7,905
2019-05-19 11:00:00,0.0,0.0,2.3,285,24.5,7,904
2019-05-19 12:00:00,0.0,0.0,2.3,286,24.8,7,903
2019-05-19 13:00:00,0.0,0.0,2.4,286,25.1,7,903
2019-05-19 14:00:00,0.0,0.0,2.1,281,24.0,8,903
2019-05-19 15:00:00,0.0,0.0,2.0,277,22.9,9,903
2019-05-19 16:00:00,0.0,0.0,2.0,280,21.6,10,903
2019-05-19 17:00:00,0.0,0.0,2.0,279,20.5,11,903
