datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,0.0,0.0,3.901,317.276,6.269,57.788,924.036
2019-05-16 01:00:00,0.0,0.0,3.949,304.364,6.685,52.785,924.434
2019-05-16 02:00:00,0.0,0.0,3.677,290.106,7.103,48.249,924.831
2019-05-16 03:00:00,0.0,0.0,3.855,279.370,7.601,44.379,925.228
2019-05-16 04:00:00,0.0,0.0,4.209,291.229,8.718,42.143,924.620
2019-05-16 05:00:00,0.0,0.0,4.430,299.652,9.858,39.517,924.012
2019-05-16 06:00:00,0.0,0.0,4.527,311.210,11.003,36.675,923.404
2019-05-16 07:00:00,0.0,0.0,4.454,313.023,11.119,34.862,923.333
2019-05-16 08:00:00,0.0,0.0,4.424,315.292,11.352,32.535,923.262
2019-05-16 09:00:00,0.0,0.0,4.461,319.729,11.622,30.213,923.192
2019-05-16 10:00:00,0.0,0.0,4.393,323.064,11.260,30.038,923.653
2019-05-16 11:00:00,0.00470344396308,0.0,4.297,323.067,10.768,30.118,924.113
2019-05-16 12:00:00,0.00470344396308,0.0,4.276,323.789,10.311,30.127,924.574
2019-05-16 13:00:00,0.00314432266168,0.0,3.569,314.267,9.827,33.591,925.032
2019-05-16 14:00:00,0.0,0.0,3.089,299.037,9.357,37.084,925.490
2019-05-16 15:00:00,0.0,0.0,2.641,287.810,8.821,40.937,925.949
2019-05-16 16:00:00,0.0,0.0,2.682,288.949,8.634,41.829,925.516
2019-05-16 17:00:00,0.0,0.0,2.361,289.824,8.177,43.867,925.083
2019-05-16 18:00:00,0.0,0.0,2.376,295.150,8.089,44.383,924.651
2019-05-16 19:00:00,0.0,0.0,2.649,296.572,7.736,45.823,925.017
2019-05-16 20:00:00,0.0,0.0,2.931,301.016,7.343,46.662,925.384
2019-05-16 21:00:00,0.0,0.0,3.334,297.513,6.943,47.428,925.750
2019-05-16 22:00:00,0.0,0.0,2.940,293.739,6.417,48.671,926.295
2019-05-16 23:00:00,0.0,0.0,2.956,264.992,6.193,49.320,926.840
2019-05-17 00:00:00,0.0,0.0,3.513,265.606,6.174,48.935,927.385
2019-05-17 01:00:00,0.0,0.0,3.513,272.565,7.040,45.021,927.549
2019-05-17 02:00:00,0.0,0.0,3.641,276.510,7.840,42.472,927.712
2019-05-17 03:00:00,0.0,0.0,4.216,280.397,8.487,41.350,927.875
2019-05-17 04:00:00,0.0,0.0,5.131,280.064,9.397,41.729,927.426
